start_id,end_id,type
11860961,G06,CLASSIFIED_AS
11860968,G06,CLASSIFIED_AS
11860973,G06,CLASSIFIED_AS
11860973,H01,CLASSIFIED_AS
11860973,C23,CLASSIFIED_AS
11860973,B08,CLASSIFIED_AS
11860975,G06,CLASSIFIED_AS
11860976,G06,CLASSIFIED_AS
11860977,G06,CLASSIFIED_AS
11860979,G11,CLASSIFIED_AS
11860979,G08,CLASSIFIED_AS
11860979,G07,CLASSIFIED_AS
11860979,H04,CLASSIFIED_AS
11860979,G01,CLASSIFIED_AS
11860979,B60,CLASSIFIED_AS
11860979,G06,CLASSIFIED_AS
11860979,G05,CLASSIFIED_AS
11860992,H04,CLASSIFIED_AS
11860992,G06,CLASSIFIED_AS
11861002,G06,CLASSIFIED_AS
11861002,G08,CLASSIFIED_AS
11861002,H04,CLASSIFIED_AS
11861003,G06,CLASSIFIED_AS
11861013,G06,CLASSIFIED_AS
11861016,G06,CLASSIFIED_AS
11861026,B33,CLASSIFIED_AS
11861026,H04,CLASSIFIED_AS
11861026,G06,CLASSIFIED_AS
11861039,G06,CLASSIFIED_AS
11861041,G06,CLASSIFIED_AS
11861041,H04,CLASSIFIED_AS
11861042,G06,CLASSIFIED_AS
11861042,H04,CLASSIFIED_AS
11861066,G06,CLASSIFIED_AS
11861066,G09,CLASSIFIED_AS
11861135,G06,CLASSIFIED_AS
11861136,G06,CLASSIFIED_AS
11861150,G06,CLASSIFIED_AS
11861150,H04,CLASSIFIED_AS
11861150,Y10,CLASSIFIED_AS
11861166,G06,CLASSIFIED_AS
11861175,G06,CLASSIFIED_AS
11861195,G06,CLASSIFIED_AS
11861199,G06,CLASSIFIED_AS
11861201,G06,CLASSIFIED_AS
11861210,G06,CLASSIFIED_AS
11861214,G06,CLASSIFIED_AS
11861217,G06,CLASSIFIED_AS
11861224,G06,CLASSIFIED_AS
11861234,G06,CLASSIFIED_AS
11861263,G06,CLASSIFIED_AS
11861263,G10,CLASSIFIED_AS
11861276,B25,CLASSIFIED_AS
11861276,G06,CLASSIFIED_AS
11861276,B60,CLASSIFIED_AS
11861276,G05,CLASSIFIED_AS
11861280,G06,CLASSIFIED_AS
11861295,G06,CLASSIFIED_AS
11861301,G06,CLASSIFIED_AS
11861307,G06,CLASSIFIED_AS
11861308,G06,CLASSIFIED_AS
11861311,G06,CLASSIFIED_AS
11861312,G06,CLASSIFIED_AS
11861317,G10,CLASSIFIED_AS
11861317,G06,CLASSIFIED_AS
11861318,G10,CLASSIFIED_AS
11861318,H04,CLASSIFIED_AS
11861318,G06,CLASSIFIED_AS
11861320,G06,CLASSIFIED_AS
11861331,G06,CLASSIFIED_AS
11861333,G06,CLASSIFIED_AS
11861335,G06,CLASSIFIED_AS
11861336,G06,CLASSIFIED_AS
11861337,G06,CLASSIFIED_AS
11861342,G06,CLASSIFIED_AS
11861342,H04,CLASSIFIED_AS
11861352,G06,CLASSIFIED_AS
11861356,G06,CLASSIFIED_AS
11861362,G06,CLASSIFIED_AS
11861374,G06,CLASSIFIED_AS
