start_id,end_id,type
11860154,Aurelien Ferro,PATENTED_BY
11860154,Butterworth,PATENTED_BY
11860154,Gonzalez,PATENTED_BY
11860154,Bourquard,PATENTED_BY
11860216,Wang,PATENTED_BY
11860216,Ma,PATENTED_BY
11860216,Huarong Liu,PATENTED_BY
11860216,Yue,PATENTED_BY
11860216,Zhen Hua,PATENTED_BY
11860216,Jianhua,PATENTED_BY
11860227,Huang,PATENTED_BY
11860227,Nakkala,PATENTED_BY
11860227,Yi,PATENTED_BY
11860227,Sundaresan,PATENTED_BY
11860227,Jianfeng Fan,PATENTED_BY
11860227,YANG,PATENTED_BY
11860227,Yanhua,PATENTED_BY
11860227,Yu,PATENTED_BY
11860227,Vijay,PATENTED_BY
11860227,Jiajun,PATENTED_BY
11860227,Vinod Kumar,PATENTED_BY
11860286,Shane Lee,PATENTED_BY
11860288,Cordourier Maruri,PATENTED_BY
11860288,Meyer,PATENTED_BY
11860288,Huang,PATENTED_BY
11860288,Camacho Perez,PATENTED_BY
11860288,Ibarra Von Borstel,PATENTED_BY
11860288,Duzinkiewicz,PATENTED_BY
11860288,Kupryjanow,PATENTED_BY
11860288,Paulo Lopez Esquivel,PATENTED_BY
11860288,Jonathan,PATENTED_BY
11860288,Jose Rodrigo,PATENTED_BY
11860288,Alejandro,PATENTED_BY
11860288,Karol,PATENTED_BY
11860288,Hector,PATENTED_BY
11860288,Adam,PATENTED_BY
11860288,Julio Zamora,PATENTED_BY
11860324,Enning Wang,PATENTED_BY
11860325,Obai Nabeel Malik Shaikh,PATENTED_BY
11860328,Mauro,PATENTED_BY
11860328,Zampato,PATENTED_BY
11860328,Galluzzi,PATENTED_BY
11860328,Renato,PATENTED_BY
11860328,Massimo,PATENTED_BY
11860328,Stefano,PATENTED_BY
11860328,Stefano Carminati,PATENTED_BY
11860592,Birley,PATENTED_BY
11860592,Bennett,PATENTED_BY
11860592,Maske,PATENTED_BY
11860592,Miller,PATENTED_BY
11860592,Robert Filev,PATENTED_BY
11860592,Upadhyay,PATENTED_BY
11860592,Justin,PATENTED_BY
11860592,Jim,PATENTED_BY
11860592,Devesh,PATENTED_BY
11860592,Dimitar Petrov,PATENTED_BY
11860592,Harshal,PATENTED_BY
11860617,Sauer,PATENTED_BY
11860617,Mueller,PATENTED_BY
11860617,Horn,PATENTED_BY
11860617,Klaus-Robert Bogojeski,PATENTED_BY
11860617,Yakut,PATENTED_BY
11860617,Simeon,PATENTED_BY
11860617,Nataliya,PATENTED_BY
11860617,Mihail,PATENTED_BY
11860617,Franziska,PATENTED_BY
11860629,Ren,PATENTED_BY
11860629,Andrei,PATENTED_BY
11860629,Raquel,PATENTED_BY
11860629,Mengye,PATENTED_BY
11860629,Bin Pokrovsky,PATENTED_BY
11860629,Urtasun,PATENTED_BY
11860629,Yang,PATENTED_BY
11860635,Boehlke,PATENTED_BY
11860635,Kakkar,PATENTED_BY
11860635,Shantnu Santamaria,PATENTED_BY
11860635,Tahiliani,PATENTED_BY
11860635,Eric Paul,PATENTED_BY
11860635,Kapil,PATENTED_BY
11860635,Juan Carlos,PATENTED_BY
11860639,Qi Chen,PATENTED_BY
11860710,Henry,PATENTED_BY
11860710,Cameron,PATENTED_BY
11860710,Suvro,PATENTED_BY
11860710,Kellie,PATENTED_BY
11860710,Rajarshi Real,PATENTED_BY
11860710,Stinson,PATENTED_BY
11860710,Choudhury,PATENTED_BY
11860710,Meshell,PATENTED_BY
11860710,Kar,PATENTED_BY
11860720,Lozano,PATENTED_BY
11860720,Abe,PATENTED_BY
11860720,Georgios,PATENTED_BY
11860720,Naoki,PATENTED_BY
11860720,Aurelie C. Kollias,PATENTED_BY
11860721,Dhivakaran,PATENTED_BY
11860721,Srinivas Hegde,PATENTED_BY
11860721,Varghese,PATENTED_BY
11860721,Gudi,PATENTED_BY
11860721,PRASAD TANNIRU,PATENTED_BY
11860721,Kabbinale,PATENTED_BY
11860721,VIJAYARAGHAVAN,PATENTED_BY
11860721,KULKARNI,PATENTED_BY
11860721,MV,PATENTED_BY
11860721,Bhavana V,PATENTED_BY
11860721,Vijeth,PATENTED_BY
11860721,Sherin,PATENTED_BY
11860721,Rajendra,PATENTED_BY
11860721,Ravindra,PATENTED_BY
11860721,Koushik M.,PATENTED_BY
11860721,Shruthi,PATENTED_BY
11860721,Santhosh,PATENTED_BY
11860721,Sneha S.,PATENTED_BY
11860721,Aditi Shekar,PATENTED_BY
11860722,Jain,PATENTED_BY
11860722,Gennetten,PATENTED_BY
11860722,Irish,PATENTED_BY
11860722,George N.,PATENTED_BY
11860722,Donald,PATENTED_BY
11860722,Amy,PATENTED_BY
11860722,Gaurav Shen,PATENTED_BY
11860724,Mercian,PATENTED_BY
11860724,Chinlin,PATENTED_BY
11860724,Renato,PATENTED_BY
11860724,Anu Chen,PATENTED_BY
11860724,Chaves de Aguiar,PATENTED_BY
11860725,O'Toole,PATENTED_BY
11860725,Christopher Diebold ZILOUCHIAN MOGHADDAM,PATENTED_BY
11860725,ROSHANAK,PATENTED_BY
11860726,Mulpuri,PATENTED_BY
11860726,Reddy,PATENTED_BY
11860726,Mandal,PATENTED_BY
11860726,Merin,PATENTED_BY
11860726,Shetty,PATENTED_BY
11860726,Raja Shekhar Ghosh,PATENTED_BY
11860726,Zhang,PATENTED_BY
11860726,Howard,PATENTED_BY
11860726,Atri,PATENTED_BY
11860726,Shainy,PATENTED_BY
11860726,Sudhir Vittal,PATENTED_BY
11860726,Adityam,PATENTED_BY
11860726,Palavali Shravan Kumar,PATENTED_BY
11860729,Dustin,PATENTED_BY
11860729,Sampanna Shahaji,PATENTED_BY
11860729,Eric L.,PATENTED_BY
11860729,Uri Garvey,PATENTED_BY
11860729,Salunke,PATENTED_BY
11860729,Sutton,PATENTED_BY
11860729,Shaft,PATENTED_BY
11860733,Sharon,PATENTED_BY
11860733,Zamir,PATENTED_BY
11860733,Ran Avraham,PATENTED_BY
11860733,Alrod,PATENTED_BY
11860733,Idan,PATENTED_BY
11860733,David,PATENTED_BY
11860733,Eran,PATENTED_BY
11860743,Prashant,PATENTED_BY
11860743,Michael G.,PATENTED_BY
11860743,Slawomir,PATENTED_BY
11860743,Dallas Lamont Bondada,PATENTED_BY
11860743,Rascher,PATENTED_BY
11860743,Sobon,PATENTED_BY
11860743,Willett,PATENTED_BY
11860746,Hua,PATENTED_BY
11860746,Kuolin Gao,PATENTED_BY
11860746,Kunxiu,PATENTED_BY
11860757,Robert William,PATENTED_BY
11860757,Michael A.,PATENTED_BY
11860757,Lawrence J. Koehler,PATENTED_BY
11860757,Klingbeil,PATENTED_BY
11860757,Birk,PATENTED_BY
11860759,Sunil Kaitha,PATENTED_BY
11860764,Ke,PATENTED_BY
11860764,Fei Han,PATENTED_BY
11860764,Peng,PATENTED_BY
11860769,Frederickson,PATENTED_BY
11860769,Bowron,PATENTED_BY
11860769,Galin,PATENTED_BY
11860769,Yun,PATENTED_BY
11860769,Sunghee,PATENTED_BY
11860769,Benjamin John,PATENTED_BY
11860769,Adam,PATENTED_BY
11860769,Suhail,PATENTED_BY
11860769,Pierre Mirza,PATENTED_BY
11860796,Liu,PATENTED_BY
11860796,Yepez,PATENTED_BY
11860796,Douglas,PATENTED_BY
11860796,Auricchio,PATENTED_BY
11860796,Kim-Biggs,PATENTED_BY
11860796,Fuller,PATENTED_BY
11860796,Goryachok,PATENTED_BY
11860796,Andrus,PATENTED_BY
11860796,Chimene,PATENTED_BY
11860796,Steffen,PATENTED_BY
11860796,Blaine,PATENTED_BY
11860796,Roberto G.,PATENTED_BY
11860796,Simon,PATENTED_BY
11860796,Russell A.,PATENTED_BY
11860796,Joseph R.,PATENTED_BY
11860796,John K.,PATENTED_BY
11860796,Landon J.,PATENTED_BY
11860796,Yevgen,PATENTED_BY
11860796,Jeremy C.,PATENTED_BY
11860796,Daniel A.,PATENTED_BY
11860796,James M.,PATENTED_BY
11860796,Arnold S. Magee,PATENTED_BY
11860811,Joseph,PATENTED_BY
11860811,Jacob Laughton,PATENTED_BY
11860811,Thomas,PATENTED_BY
11860811,Arthur Brian,PATENTED_BY
11860811,Tessil,PATENTED_BY
11860814,Venkat Konda,PATENTED_BY
11860817,Vaibhav,PATENTED_BY
11860817,Vijay,PATENTED_BY
11860817,Abdullah,PATENTED_BY
11860817,Anshul,PATENTED_BY
11860817,Nitin Gosain,PATENTED_BY
11860817,Karthik,PATENTED_BY
11860817,Reza,PATENTED_BY
11860817,Gupta,PATENTED_BY
11860817,Rathor,PATENTED_BY
11860818,Kuchibhotla,PATENTED_BY
11860818,Rawat,PATENTED_BY
11860818,Launier,PATENTED_BY
11860818,Maneesh Khanuja,PATENTED_BY
11860818,Menon,PATENTED_BY
11860818,Jeremy,PATENTED_BY
11860818,Balasubrahmanyam,PATENTED_BY
11860818,Sujit,PATENTED_BY
11860818,Kamaldeep,PATENTED_BY
11860820,Pullen,PATENTED_BY
11860820,Jibaja,PATENTED_BY
11860820,Chellappa,PATENTED_BY
11860820,Stefan Jaikumar,PATENTED_BY
11860820,Dorsett,PATENTED_BY
11860820,Ivan,PATENTED_BY
11860820,Srinivas,PATENTED_BY
11860820,Prashant,PATENTED_BY
11860820,Curtis,PATENTED_BY
11860822,Hossein,PATENTED_BY
11860822,Samuel,PATENTED_BY
11860822,Bryan Kakavand,PATENTED_BY
11860822,Wood,PATENTED_BY
11860822,Matsuo,PATENTED_BY
11860824,Kenneth William,PATENTED_BY
11860824,Qing,PATENTED_BY
11860824,Peter Cluff,PATENTED_BY
11860824,Li,PATENTED_BY
11860824,Councill,PATENTED_BY
